Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_MW_kDa,Solvent_system,Solvent_ratio,Fiber_diameter_nm_std,Solvent_density_gmL,c_star_wt_pct,Polymer_conc_wt,intrinsic_viscosity_dLg,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,log_diameter
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,2830.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,0.5,3.0,7.0,7.948031990637284
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1670.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,0.5,0.25,7.0,7.4205789054108
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,2540.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,1.0,1.0,7.0,7.8399193600125825
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,2460.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,1.0,0.5,7.0,7.807916628926408
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,2350.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,1.0,0.1,7.0,7.762170607138205
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1210.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,2.0,3.0,7.0,7.098375638590786
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1650.0,0.784,3.2749173603026286,20.0,0.3894785925113436,6.107024330577868,23.46,56.1,2.0,0.1,7.0,7.408530566894626
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,3410.0,0.784,3.2749173603026286,25.0,0.3894785925113436,7.633780413222335,23.46,56.1,1.0,0.25,7.0,8.134467570277563
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,3220.0,0.784,3.2749173603026286,25.0,0.3894785925113436,7.633780413222335,23.46,56.1,1.0,0.1,7.0,8.077136638538454
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,3250.0,0.784,3.2749173603026286,25.0,0.3894785925113436,7.633780413222335,23.46,56.1,1.5,0.1,7.0,8.086410275323782
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol/water,70:30,916.0,0.8502000000000001,1.0837749612144156,10.0,1.0852749683627314,9.227007781019944,36.45399999999999,87.82,1.2,6.6,25.0,6.82001636467413
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol/water,70:30,800.0,0.8502000000000001,1.0837749612144156,10.0,1.0852749683627314,9.227007781019944,36.45399999999999,87.82,1.2,6.6,25.0,6.684611727667927
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol,NR,750.0,0.786,1.1722970381991043,10.0,1.0852749683627314,8.530261251331069,21.22,82.6,1.6,6.6,25.0,6.620073206530356
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol,NR,900.0,0.786,1.1722970381991043,10.0,1.0852749683627314,8.530261251331069,21.22,82.6,1.2,6.6,25.0,6.802394763324311
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol,NR,1100.0,0.786,1.1722970381991043,10.0,1.0852749683627314,8.530261251331069,21.22,82.6,1.2,6.6,25.0,7.003065458786462
Cena2018,10.1007/s10965-018-1633-0,J_Polym_Res,2018,PVP,360,isopropyl_alcohol,NR,900.0,0.786,1.1722970381991043,10.0,1.0852749683627314,8.530261251331069,21.22,82.6,1.2,6.6,25.0,6.802394763324311
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,4:6,302.0,1.066,0.944784549188868,10.0,0.9929102934053522,10.584423727701056,24.932,58.14,2.0,30.0,15.0,5.71042701737487
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,5:5,301.0,1.1365,0.886177148645256,10.0,0.9929102934053522,11.284425484551828,25.3,58.650000000000006,2.0,30.0,15.0,5.707110264748875
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,6:4,294.0,1.207,0.8344161801452637,10.0,0.9929102934053522,11.984427241402602,25.668,59.16,2.0,30.0,15.0,5.683579767338681
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,7:3,304.0,1.2775,0.7883681639415526,10.0,0.9929102934053522,12.684428998253374,26.036,59.67,2.0,30.0,15.0,5.717027701406222
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,8:2,339.0,1.348,0.7471367429045499,10.0,0.9929102934053522,13.384430755104149,26.404000000000003,60.18000000000001,2.0,30.0,15.0,5.82600010738045
Lorente2022,10.3390/polym14071299,Polymers,2022,PEO,100,chloroform/acetone,9:1,294.0,1.4185,0.7100037570922336,10.0,0.9929102934053522,14.08443251195492,26.772,60.690000000000005,2.0,30.0,15.0,5.683579767338681
